NHẬP HÀNG,AUTO,NHẬP HÀNG,,,,,,AUTO,NHẬP HÀNG,NHẬP HÀNG,AUTO,AUTO,AUTO,AUTO,,,,
Mã Đơn Đặt Hàng,TÊN SẢN PHẨM,LẦN GIAO,S / 29,M / 30,L / 31,XL / 32,XXL / 34,TỔNG SL THỰC NHẬN,NGÀY THỰC NHẬN,GHI CHÚ ĐƠN HÀNG,Quý,Nhà Máy,Tháng,Tuần,Giá,Giá trị nhập thực tế,,Nháp số Inbound
66_PO166_TRẮNG,BASIC DIAMOND,LẦN 1,,122,167,98,64,451,02/03/2026,HOÀN THÀNH,Quý 1,AT, Tháng 3,Tuần 1,127.440,57.475.440,,
65_PO166_ĐEN,BASIC DIAMOND,LẦN 1,,82,169,79,61,391,02/03/2026,HOÀN THÀNH,Quý 1,AT, Tháng 3,Tuần 1,127.440,49.829.040,,
44_PO99_BE,SHORT KAKI,LẦN 1,,200,300,300,,800,03/03/2026,,Quý 1,LC, Tháng 3,Tuần 1,112.000,89.600.000,,
45_PO99_BE ĐẬM,SHORT KAKI,LẦN 1,,174,238,197,,609,03/03/2026,,Quý 1,LC, Tháng 3,Tuần 1,112.000,68.208.000,,
46_PO99_NÂU,SHORT KAKI,LẦN 1,,113,125,127,,365,03/03/2026,HOÀN THÀNH,Quý 1,LC, Tháng 3,Tuần 1,112.000,40.880.000,,
64_PO216_XANH NHẠT,JEAN STRAIGHT,LẦN 1,234,504,512,501,237,1.988,03/03/2026,,Quý 1,LC, Tháng 3,Tuần 1,180.000,357.840.000,,
36_PO98_NAVY,TRAVIS,LẦN 1,,138,150,146,,434,03/03/2026,HOÀN THÀNH,Quý 1,AT, Tháng 3,Tuần 1,124.200,53.902.800,,
68_PO276_BE NHẠT,CLASSIC DIAMOND V2,LẦN 1,,199,371,164,112,846,03/03/2026,HOÀN THÀNH,Quý 1,AT, Tháng 3,Tuần 1,124.200,105.073.200,,
47_PO260_KEM,IRISH PMD35 ,LẦN 1,,201,189,150,109,649,04/03/2026,,Quý 1,AT, Tháng 3,Tuần 1,139.320,90.418.680,,
63_PO166_NAVY,BASIC DIAMOND,LẦN 1,,254,256,198,107,815,04/03/2026,,Quý 1,AT, Tháng 3,Tuần 1,127.440,103.863.600,,
61_PO88_NAVY,BASIC SYMBOL,LẦN 1,,206,,201,,407,09/03/2026,,Quý 1,TLN, Tháng 3,Tuần 2,112.860,45.934.020,,
59_PO88_CAFE,BASIC SYMBOL,LẦN 1,,249,244,202,101,796,09/03/2026,,Quý 1,TLN, Tháng 3,Tuần 2,112.860,89.836.560,,
9_PO166_TRẮNG KEM,BASIC DIAMOND,LẦN 1,,290,290,234,144,958,10/03/2026,HOÀN THÀNH,Quý 1,AT, Tháng 3,Tuần 2,127.440,122.087.520,,
10_PO166_BE ,BASIC DIAMOND,LẦN 1,,86,82,209,129,506,10/03/2026,,Quý 1,AT, Tháng 3,Tuần 2,127.440,64.484.640,,
12_PO166_XANH DENIM,BASIC DIAMOND,LẦN 1,,156,158,131,92,537,10/03/2026,HOÀN THÀNH,Quý 1,AT, Tháng 3,Tuần 2,127.440,68.435.280,,
28_PO253_ĐEN 84,ASTON PMD31,LẦN 1,122,244,183,56,,605,10/03/2026,,Quý 1,TLN, Tháng 3,Tuần 2,201.528,121.924.440,,
42_PO202_KEM NHẠT,NIVIX,LẦN 1,,80,80,84,26,270,10/03/2026,,Quý 1,TLN, Tháng 3,Tuần 2,131.868,35.604.360,,
