DATA ĐH 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,AUTO,,,,AUTO,,,,,,,,
,,,MÔ TẢ SẢN PHẨM,,,,,,TỈ LỆ SIZE,,,,,,,,,,,,,,,,,THÔNG TIN NHẬP HÀNG,,,,,,,,
STT,PHÂN LOẠI ĐH,PHÂN CẤP SP,TÊN SẢN PHẨM,HÌNH ẢNH,ART/ MÃ SP,Màu,LOẠI SP,CHẤT LIỆU,S / 29,M / 30,L / 31,XL / 32,XXL / 34,SL ĐẶT HÀNG (pcs),"ĐƠN GIÁ
(VNĐ)",TỔNG GIÁ TRỊ,NHÀ MÁY,TIMELINE NHẬP KHO,NGÀY GỬI PO,NGÀY GIAO HÀNG DỰ KIẾN,⚠️ Phân loại đơn hàng,Quý,Tuần,Mã Đơn Đặt Hàng,Trạng Thái,NGÀY NHẬP KHO DỰ KIẾN,NGÀY GIAO THỰC TẾ,SL NHẬP KHO/ Thực tế,% TIẾN ĐỘ NHẬP HÀNG,TRẠNG THÁI GIAO HÀNG,TRẠNG THÁI ĐƠN HÀNG,GHI CHÚ ĐƠN HÀNG,Giá Trị Nhập Hàng thực tế,
1,NEW IN,NEWIN,TWILL,,PO279,BE,,,,150,150,125,75,500,99.000 đ,49.500.000 đ,AT,Tháng 3,24/09/2025,,ĐƠN ĐỊNH KỲ,Quý 1,,1_PO279_BE,Cancel,31/12/1899,,,,,,,,
2,NEW IN,NEWIN,TWILL,,PO279,KEM,,,,150,150,125,75,500,99.000 đ,49.500.000 đ,AT,Tháng 3,24/09/2025,,ĐƠN ĐỊNH KỲ,Quý 1,,2_PO279_KEM,Cancel,31/12/1899,,,,,,,,
3,NEW IN,NEWIN,BASIC SYMBOL,,PO88,KEM VÀNG NEW,,,,250,350,250,150,1.000,112.860 đ,112.860.000 đ,TLN,Tháng 3,8/12/2025 ( RV),13/03/2026,ĐƠN ĐỊNH KỲ,Quý 1,Tuần 2,3_PO88_KEM VÀNG NEW,,14/03/2026,13/03/2026,665,"66,50%",Đúng hạn,Hoàn thành(thiếu),HOÀN THÀNH,75.051.900 đ,
4,NEW IN,NEWIN,BASIC SYMBOL,,PO88,KHAKI NEW,,,,225,225,200,150,800,112.860 đ,90.288.000 đ,TLN,Tháng 3,8/12/2025 ( RV),13/03/2026,ĐƠN ĐỊNH KỲ,Quý 1,Tuần 2,4_PO88_KHAKI NEW,,14/03/2026,12/03/2026,699,"87,38%",Đúng hạn,Hoàn thành(thiếu),HOÀN THÀNH,78.889.140 đ,
5,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,BE NHẠT,,,,200,250,150,100,700,112.860 đ,79.002.000 đ,TLN,Tháng 3,07/11/2025,17/03/2026,ĐƠN ĐỊNH KỲ,Quý 1,Tuần 3,5_PO88_BE NHẠT,,18/03/2026,27/03/2026,781,"111,57%",Trễ hạn,Hoàn thành,,88.143.660 đ,
6,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,ĐẤT,,,,200,250,150,100,700,112.860 đ,79.002.000 đ,TLN,Tháng 3,07/11/2025,17/03/2026,ĐƠN ĐỊNH KỲ,Quý 1,Tuần 3,6_PO88_ĐẤT,,18/03/2026,27/03/2026,666,"95,14%",Trễ hạn,Hoàn thành(thiếu),HOÀN THÀNH,75.164.760 đ,
7,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,KEM VÀNG NEW,,,,200,250,150,100,700,112.860 đ,79.002.000 đ,TLN,Tháng 6,"8/12/2025 ( RV)
RV 11/3/26",02/06/2026,ĐƠN ĐỊNH KỲ,Quý 2,Tuần 1,7_PO88_KEM VÀNG NEW,Cancel,03/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,cvc 60/40
